Doctor Name,Category
Dr. Sudha Bhuvaneshwari,Ophthalmology
Dr. Vinitha Rachel Philip,Ophthalmology
Dr. Sri ram,Ophthalmology
Dr. J. Radha,Ophthalmology
Dr. Bharath Ramji,Endocrinology
Dr. Dhalapathy Sadacharan,Endocrinology
Dr. Vignesh,Endocrinology
Dr. S. Sivaprakash,Endocrinology
Dr. Preethi. P,Ent
Dr. Niraj Kumar Joshi,Ent
Dr. Deepika M Vijai,Ent
Dr. Kavya Murali,Ent
Dr. M. Hari Meyyappan,Ent
Dr. R. Hariprasad,Ent
Dr. M. Vijayakumar,Ent
Dr. R. Anbuchezian,Ent
Dr. K. Mahendran,Ent
Dr. S. Suresh Kumar,Ent
Dr. R. Hariprasad,Ent
Dr. M. Vijayakumar,Ent
Dr. Vinothan,Ent
Dr. D. Jyoti basu,General Surgery
Dr. Muralidharan Parthasarathy,General Surgery
Dr. R. Sumathi Ravikumar,General Surgery
Dr. P. V. Dhanapal,General Surgery
Dr. K. S. Ashoke Prakaash,General Surgery
Dr Santhi,General Surgery
Dr Sumanth Srivatsan,General Surgery
Dr. Thilagavathy,Laboratory Services
Velvizhi,Laboratory Services
Dr Meenachi Chidambaram,Laboratory Services
Dr. T. S. Sabeeha,Obstetrics
Dr. Meena Umachander Thiagarajan,Obstetrics
Dr. N. Suchitra,Obstetrics
Dr. E. Elavarasi,Obstetrics
Dr. N. Suchitra,Obstetrics
Dr. K. Birundha,Obstetrics
Dr. T. S. Neeraja,Obstetrics
Dr. P. Sathya Sudhakar,Obstetrics
Dr. S. S. Subha,Obstetrics
Dr. Deepika Gajendiran,Obstetrics
Dr. Anitha,Obstetrics
Dr. P. M. Gopinath,Obstetrics
Dr. Sahityalakshmi Manoharan,Obstetrics
Dr. Madhumathi D,Obstetrics
Dr. V. Uma Maheswari,Obstetrics
Dr. M. Sudha shanthi,Obstetrics
Dr. S. Subasini,Obstetrics
Dr. M. Sudha shanthi,Obstetrics
Dr. Sindhuja B,Obstetrics
Dr. T. Siraj Fathima,Obstetrics
Dr Madhura Vilas Joshi,Obstetrics
Dr. Sujatha Velmurugan,Psychiatry
Dr. Yamini Kannappan,Psychiatry
Dr. Padmini Deepak,Psychiatry
Dr. S. R. Nirmal,Psychiatry
Dr. A. Geetha,Psychiatry
Dr. Singaravelu Thiyagarajan,Psychiatry
Dr. V. Kandasamy,Psychiatry
Dr. M. B. Abdul Rahuman,Psychiatry
Dr. G. Ramanujam,Psychiatry
Dr. Sunitha M,Psychiatry
Dr. M. Vetrivel,Psychiatry
Dr. Mohamed Naveeth,Psychiatry
Dr. Panchapakesa Rajendran Bava P. Chokkappa,Rheumatology
Dr. S. Sham,Rheumatology
Dr. B. Senthilkumar,Rheumatology
Dr. Pradeep Kumar,Rheumatology
Dr. S. Vidya,Rheumatology
"Dr C Panchapakesa Rajendran,",Rheumatology
Dr. Nikhila G S,Rheumatology
